ANT-A10340,ANTENNA-CALVUS-A10340-SMD
Pin_Header_Straight_1x24,CONN-HEADER-STRAIGHT-P2.54MM-1x24
Pin_Header_Straight_1x25,CONN-HEADER-STRAIGHT-P2.54MM-1x25
Pin_Header_Straight_1x26,CONN-HEADER-STRAIGHT-P2.54MM-1x26
Pin_Header_Straight_1x27,CONN-HEADER-STRAIGHT-P2.54MM-1x27
Pin_Header_Straight_1x28,CONN-HEADER-STRAIGHT-P2.54MM-1x28
Pin_Header_Straight_1x29,CONN-HEADER-STRAIGHT-P2.54MM-1x29
Pin_Header_Straight_1x30,CONN-HEADER-STRAIGHT-P2.54MM-1x30
Pin_Header_Straight_1x31,CONN-HEADER-STRAIGHT-P2.54MM-1x31
Pin_Header_Straight_1x32,CONN-HEADER-STRAIGHT-P2.54MM-1x32
Pin_Header_Straight_1x33,CONN-HEADER-STRAIGHT-P2.54MM-1x33
Pin_Header_Straight_1x34,CONN-HEADER-STRAIGHT-P2.54MM-1x34
Pin_Header_Straight_1x35,CONN-HEADER-STRAIGHT-P2.54MM-1x35
Pin_Header_Straight_1x36,CONN-HEADER-STRAIGHT-P2.54MM-1x36
Pin_Header_Straight_1x37,CONN-HEADER-STRAIGHT-P2.54MM-1x37
Pin_Header_Straight_1x38,CONN-HEADER-STRAIGHT-P2.54MM-1x38
Pin_Header_Straight_1x39,CONN-HEADER-STRAIGHT-P2.54MM-1x39
Pin_Header_Straight_1x40,CONN-HEADER-STRAIGHT-P2.54MM-1x40
Pin_Header_Straight_2x01,CONN-HEADER-STRAIGHT-P2.54MM-2x01
Pin_Header_Straight_2x02,CONN-HEADER-STRAIGHT-P2.54MM-2x02
Pin_Header_Straight_2x03,CONN-HEADER-STRAIGHT-P2.54MM-2x03
Pin_Header_Straight_2x04,CONN-HEADER-STRAIGHT-P2.54MM-2x04
Pin_Header_Straight_2x05,CONN-HEADER-STRAIGHT-P2.54MM-2x05
Pin_Header_Straight_2x06,CONN-HEADER-STRAIGHT-P2.54MM-2x06
Pin_Header_Straight_2x07,CONN-HEADER-STRAIGHT-P2.54MM-2x07
Pin_Header_Straight_2x08,CONN-HEADER-STRAIGHT-P2.54MM-2x08
Pin_Header_Straight_2x09,CONN-HEADER-STRAIGHT-P2.54MM-2x09
Pin_Header_Straight_2x10,CONN-HEADER-STRAIGHT-P2.54MM-2x10
Pin_Header_Straight_2x11,CONN-HEADER-STRAIGHT-P2.54MM-2x11
Pin_Header_Straight_2x12,CONN-HEADER-STRAIGHT-P2.54MM-2x12
Pin_Header_Straight_2x13,CONN-HEADER-STRAIGHT-P2.54MM-2x13
Pin_Header_Straight_2x14,CONN-HEADER-STRAIGHT-P2.54MM-2x14
Pin_Header_Straight_2x15,CONN-HEADER-STRAIGHT-P2.54MM-2x15
Pin_Header_Straight_2x16,CONN-HEADER-STRAIGHT-P2.54MM-2x16
Pin_Header_Straight_2x17,CONN-HEADER-STRAIGHT-P2.54MM-2x17
Pin_Header_Straight_2x18,CONN-HEADER-STRAIGHT-P2.54MM-2x18
Pin_Header_Straight_2x19,CONN-HEADER-STRAIGHT-P2.54MM-2x19
Pin_Header_Straight_2x20,CONN-HEADER-STRAIGHT-P2.54MM-2x20
Pin_Header_Straight_2x21,CONN-HEADER-STRAIGHT-P2.54MM-2x21
Pin_Header_Straight_2x22,CONN-HEADER-STRAIGHT-P2.54MM-2x22
Pin_Header_Straight_2x23,CONN-HEADER-STRAIGHT-P2.54MM-2x23
Pin_Header_Straight_2x24,CONN-HEADER-STRAIGHT-P2.54MM-2x24
Pin_Header_Straight_2x25,CONN-HEADER-STRAIGHT-P2.54MM-2x25
Pin_Header_Straight_2x26,CONN-HEADER-STRAIGHT-P2.54MM-2x26
Pin_Header_Straight_2x27,CONN-HEADER-STRAIGHT-P2.54MM-2x27
Pin_Header_Straight_2x28,CONN-HEADER-STRAIGHT-P2.54MM-2x28
Pin_Header_Straight_2x29,CONN-HEADER-STRAIGHT-P2.54MM-2x29
Pin_Header_Straight_2x30,CONN-HEADER-STRAIGHT-P2.54MM-2x30
Pin_Header_Straight_2x31,CONN-HEADER-STRAIGHT-P2.54MM-2x31
Pin_Header_Straight_2x32,CONN-HEADER-STRAIGHT-P2.54MM-2x32
Pin_Header_Straight_2x33,CONN-HEADER-STRAIGHT-P2.54MM-2x33
Pin_Header_Straight_2x34,CONN-HEADER-STRAIGHT-P2.54MM-2x34
Pin_Header_Straight_2x35,CONN-HEADER-STRAIGHT-P2.54MM-2x35
Pin_Header_Straight_2x36,CONN-HEADER-STRAIGHT-P2.54MM-2x36
Pin_Header_Straight_2x37,CONN-HEADER-STRAIGHT-P2.54MM-2x37
Pin_Header_Straight_2x38,CONN-HEADER-STRAIGHT-P2.54MM-2x38
Pin_Header_Straight_2x39,CONN-HEADER-STRAIGHT-P2.54MM-2x39
Pin_Header_Straight_2x40,CONN-HEADER-STRAIGHT-P2.54MM-2x40
Connectors_JST_S2B-PH-SM4-TB,CONN-JST-S2B-PH-SM4-TB
CONN-KK100-1x05,CONN-MOLEX-KK100-1x05
CONN-KK100-1x06,CONN-MOLEX-KK100-1x06
OSTVN02A150,CONN-ONSHORE-SCREW-GREEN-2PIN-TH
OSTVN03A150,CONN-ONSHORE-SCREW-GREEN-3PIN-TH
SD_Holder_FullSize,CONN-SD-FULL-TECONN-2041021-4
,CONN-SD-MICRO-AMPHENOL-114-00841-68
Conn_uSDcard_Molex_475710001,CONN-SD-MICRO-MOLEX-0475710001
Conn_uSDcard_5009010801,CONN-SD-MICRO-MOLEX-5009010801
Conn_uSDcard,CONN-SD-MICRO-TECONN-2041021-4
SMA_Straight,CONN-SMA-STRAIGHT-TH
USB-A-PCB-TRACES,CONN-USB-A-PCB-TRACES
USB-Micro-B-10118193_0001LF,CONN-USB-MICRO-B-AMPHENOL-10118193-0001LF
CRYSTAL_8Y_4SMD,CRYSTAL-8Y-4SMD
CRYSTAL_ABM-2SMD,CRYSTAL-ABM-2SMD
CRYSTAL-CTS-4SMD,CRYSTAL-CTS-4SMD
DB9FC,DB9-FEMALE-C
DB9FD,DB9-FEMALE-D
DB9MC,DB9-MALE-C
DB9MD,DB9-MALE-D
DFN-10-1EP_3x3mm_Pitch0.5mm,DFN-10-1EP-3x3MM-P0.5MM
Diode_DO-41,DIODE-DO-41
Diode_SMA,DIODE-SMA
Diode_SMB,DIODE-SMB
Diode_SMC,DIODE-SMC
DIP-16_W7.62mm_LongPads,DIP-16-W7.62MM-LONGPADS
DIP-8_W7.62mm_LongPads,DIP-8-W7.62MM-LONGPADS
DO214AC,DO214AC
DPAK,DPAK
EM-506-GPS,GPS-EM-506
PINHOLE-40MIL,HOLE-PLATED-40MIL
IND_78F_AXIAL,IND-78F-AXIAL
LCD-1602A,LCD-1602A
0603-LED,LED-0603-SMD
LED_0805,LED-0805-SMD
LED_1206,LED-1206-SMD
LED-3MM-2PIN,LED-D3MM-2PIN
LED-3MM-3PIN,LED-D3MM-3PIN
LED-5MM-2PIN,LED-D5MM-2PIN
LED-5MM-3PIN,LED-D5MM-3PIN
LED-RGB-5MM_Common_Cathode,LED-D5MM-4PIN-COMMON-CATHODE
LED-APTB-CHIP,LED-KINGSBRIGHT-APTB-0606-SMD
LED-LTST-CHIP,LED-LITEON-LTST-0606-SMD
RGBLED5050,LED-RGB-5050-SMD
LED_4PLCC,LED-WURTH-SBTW-4PLCC-SMD
MSOP-10-1EP_3x3mm_Pitch0.5mm,MSOP-10-1EP-3x3MM-P0.5MM
MSOP-10_3x3mm_Pitch0.5mm,MSOP-10-3x3MM-P0.5MM
PowerSO-20,POWERSO-20
QFN-32-1EP_5x5mm_Pitch0.5mm,QFN-32-1EP-5x5MM-P0.5MM
Resistor_Horizontal_RM7mm,RES-CARBONFILM-7MM
Square_Trimpot_TH,RES-TRIMPOT-BOURNS-3362-SQUARE-TH-CENTER
,RES-TRIMPOT-BOURNS-3362-SQUARE-TH-OFFSET
P160-TRIMPOT,RES-TRIMPOT-TTELEC-P160-TH
0402,RLC-0402-SMD
0603,RLC-0603-SMD
0805,RLC-0805-SMD
1206,RLC-1206-SMD
1210,RLC-1210-SMD
1812,RLC-1812-SMD
1825,RLC-1825-SMD
2010,RLC-2010-SMD
2220,RLC-2220-SMD
2225,RLC-2225-SMD
SOD-123,SOD-123
SOD-323,SOD-323
SOD-523,SOD-523
SOIC-14_3.9x8.7mm_Pitch1.27mm,SOIC-14-3.9x8.7MM-P1.27MM
SOIC-16_3.9x9.9mm_Pitch1.27mm,SOIC-16-3.9x9.9MM-P1.27MM
SOIC-16_7.5x10.3mm_Pitch1.27mm,SOIC-16-7.5x10.3MM-P1.27MM
SOIC-18_7.5x11.6mm_Pitch1.27mm,SOIC-18-7.5x11.6MM-P1.27MM
SOIC-20_7.5x12.8mm_Pitch1.27mm,SOIC-20-7.5x12.8MM-P1.27MM
SOIC-24_7.5x15.4mm_Pitch1.27mm,SOIC-24-7.5x15.4MM-P1.27MM
SOIC-28_7.5x17.9mm_Pitch1.27mm,SOIC-28-7.5x17.9MM-P1.27MM
SOIC-8-1EP_3.9x4.9mm_Pitch1.27mm,SOIC-8-1EP-3.9x4.9MM-P1.27MM
SOIC-8_3.9x4.9mm_Pitch1.27mm,SOIC-8-3.9x4.9MM-P1.27MM
SOT-223,SOT-223
SOT-23-3,SOT-23-3
SOT-23-5,SOT-23-5
SSOP-24_5.3x8.2mm_Pitch0.65mm,SSOP-24-5.3x8.2MM-P0.65MM
SSOP-28_5.3x10.2mm_Pitch0.65mm,SSOP-28-5.3x10.2MM-P0.65MM
SW_TH_5WAY_NAV,SWITCH-5WAY-NAV-TH
SW-EG1218,SWITCH-ESWITCH-SLIDE-TH-EG1218
SW-100SP3,SWITCH-ESWITCH-TOGGLE-TH-100SP3
SW-B3U-1000P,SWITCH-OMRON-MOMENTARY-SMD-B3U-1000P
SW-B3F-10XX,SWITCH-OMRON-MOMENTARY-TH-B3F-10XX
SW-FSMSM,SWITCH-TECONN-MOMENTARY-SMD-FSMSM
Symbol_OSHW-Logo_SilkScreen,SYMBOL-OSHW-LOGO-SILK
TEENSY-3.2-LEAFBOARD-ADAPTER,TEENSY-3.2-LEAFBOARD-ADAPTER
TEENSY-3.2,TEENSY-3.2-NOSILK
TEENSY-LC,TEENSY-LC-NOSILK
TO-220_Neutral123_Vertical_LargePads,TO-220-NEUTRAL123-VERT-LONGPADS
TO-92_Inline_Narrow_Oval,TO-92-INLINE-NARROW-OVAL
TQFP-100_14x14mm_Pitch0.5mm,TQFP-100-14x14MM-P0.5MM
TQFP-32_7x7mm_Pitch0.8mm,TQFP-32-7x7MM-P0.8MM
TQFP-44_10x10mm_Pitch0.8mm,TQFP-44-10x10MM-P0.8MM
TSSOP-14_4.4x5mm_Pitch0.65mm,TSSOP-14-4.4x5MM-P0.65MM
